country	continent	year	lifeExp
Sweden	Europe	1997	79.39
Germany	Europe	2007	79.406
United Kingdom	Europe	2007	79.425
Belgium	Europe	2007	79.441
Greece	Europe	2007	79.483
France	Europe	2002	79.59
Netherlands	Europe	2007	79.762
Spain	Europe	2002	79.78
Austria	Europe	2007	79.829
Sweden	Europe	2002	80.04
Norway	Europe	2007	80.196
Italy	Europe	2002	80.24
Iceland	Europe	2002	80.5
Italy	Europe	2007	80.546
Switzerland	Europe	2002	80.62
France	Europe	2007	80.657
Sweden	Europe	2007	80.884
Spain	Europe	2007	80.941
Switzerland	Europe	2007	81.701
Iceland	Europe	2007	81.757
